203,69
245,214
151,108
269,84
179,221
130,104
36,301
249,74
183,243
33,69
139,342
238,268
332,148
51,268
94,38
136,255
252,218
322,327
36,339
226,74
139,207
198,80
247,113
41,292
48,163
182,187
54,322
270,188
110,342
179,231
42,296
125,75
250,39
270,82
267,214
119,39
241,192
321,130
179,72
325,111
35,199
325,41
231,149
149,189
236,36
330,150
197,249
194,223
192,244
335,207
331,98
216,340
197,81
261,120
327,238
90,40
321,241
137,184
196,221
240,250
333,39
232,144
202,171
151,341
183,177
202,223
281,90
46,275
193,222
331,173
147,206
258,45
52,312
38,146
203,79
227,69
328,274
238,349
259,211
130,337
327,192
336,334
35,325
41,73
212,241
138,208
226,140
144,132
326,182
324,102
171,145
217,334
104,342
48,160
249,334
129,95
190,45
162,339
275,83
333,295
333,238
86,349
237,42
259,207
209,220
146,119
226,141
45,305
51,91
331,126
33,124
281,50
276,340
239,335
144,67
50,99
165,36
222,50
31,324
44,260
245,275
241,205
218,164
254,278
206,51
306,348
176,78
319,259
193,68
140,123
173,330
36,256
147,214
219,43
40,194
335,261
254,212
155,78
275,343
333,329
240,134
233,127
202,69
280,51
165,341
153,189
292,337
321,136
50,155
194,338
149,191
128,40
45,75
253,98
49,181
136,40
108,43
153,200
234,335
284,289
127,282
181,229
83,42
244,107
36,147
43,52
177,50
326,38
333,221
42,315
118,192
169,137
156,273
266,211
279,66
188,42
41,275
42,302
277,83
233,79
118,285
35,50
211,239
123,339
204,233
147,203
159,68
320,272
118,280
241,74
131,341
321,137
324,277
138,103
217,72
164,136
107,295
325,44
320,198
93,340
328,121
118,186
203,227
245,343
86,345
67,47
258,50
323,296
259,95
341,333
230,126
263,62
51,285
158,124
249,121
149,187
204,348
194,349
330,41
33,82
133,213
120,39
235,131
42,239
180,173
247,129
42,102
145,74
42,297
203,183
190,332
244,200
106,74
123,73
211,77
215,181
168,68
22,323
320,99
283,340
226,331
334,274
331,234
39,197
243,251
320,249
234,79
125,81
133,259
152,122
47,344
151,138
38,227
239,206
336,308
148,200
338,329
138,49
152,71
204,198
183,41
198,221
138,40
205,224
74,35
42,92
255,51
215,154
267,192
31,46
105,338
45,170
186,228
322,187
232,124
263,206
50,339
236,133
281,87
49,185
255,78
48,340
243,214
37,203
45,173
178,222
211,71
257,189
224,336
287,347
226,70
115,294
110,49
323,173
161,120
35,268
249,47
164,272
232,339
195,350
224,296
321,285
323,306
173,65
125,101
224,77
133,211
40,91
51,281
257,214
327,188
251,275
210,67
226,348
253,340
265,69
32,344
253,305
140,82
232,157
140,207
212,173
266,43
94,43
332,229
237,190
43,216
226,51
182,171
41,348
199,249
334,214
183,43
263,40
128,341
37,161
202,252
43,79
262,72
326,299
220,331
192,190
207,179
